sentiment,account_std,trades,notional_sum,r_mean,pnl_mean,winrate
Extreme Fear,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1,54768.6,0.0,0.0,0.0
Extreme Fear,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,154,53515.55,0.012398037037504686,2.59801187012987,0.2987012987012987
Extreme Fear,0x2c229d22b100a7beb69122eed721cee9b24011dd,26,19222.63,0.010983744634723317,6.158762153846154,0.7307692307692307
Extreme Fear,0x39cef799f8b69da1995852eea189df24eb5cae3c,143,679709.13,0.0,0.0,0.0
Extreme Fear,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,116,41694.0,0.012702178574642198,7.359550413793103,0.22413793103448276
Extreme Fear,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,60,999996.66,0.0,0.0,0.0
Extreme Fear,0x4f93fead39b70a1824f981a54d4e55b278e9f760,69,808864.16,0.0037354757074961296,44.69982236231884,0.42028985507246375
Extreme Fear,0x513b8629fe877bb581bf244e326a047b249c4ff1,49,110787.03,0.0,0.0,0.0
Extreme Fear,0x6d6a4b953f202f8df5bed40692e7fd865318264a,20,18458.769999999997,0.010031274573105578,14.9015682,0.25
Extreme Fear,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,6,36394.5,0.0,0.0,0.0
Extreme Fear,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,26,51369.17,0.022428919001102103,36.06883134615385,0.6538461538461539
Extreme Fear,0x8170715b3b381dffb7062c0298972d4727a0a63b,85,478472.76,0.0,0.0,0.0
Extreme Fear,0x8477e447846c758f5a675856001ea72298fd9cb5,205,100908.99,0.008000301562284607,5.064931595121951,0.1951219512195122
Extreme Fear,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,4,459.28,-0.06666370935995378,-10.178054249999999,0.0
Extreme Fear,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,8,340220.0,0.001445169413919414,252.5,0.125
Extreme Fear,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,59,80027.04000000001,0.059053063919784855,10.99973579661017,0.2542372881355932
Extreme Fear,0xb899e522b5715391ae1d4f137653e7906c5e2115,24,680921.11,0.0003300423852207849,15.044644333333332,0.2916666666666667
Extreme Fear,0xbaaaf6571ab7d571043ff1e313a9609a10637864,937,4382512.84,0.0010477014487834848,4.129358381003201,0.5080042689434365
Extreme Fear,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,73,196530.47,-0.01137031664217759,-80.30258597260274,0.0
Extreme Fear,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,261,445407.35,-0.008903186214427558,-12.9075721302682,0.0
Extreme Greed,0x083384f897ee0f19899168e3b1bec365f52a9012,177,900880.13,0.0,0.0,0.0
Extreme Greed,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,430,59414.39,0.1964740968894382,41.03581115581396,0.4906976744186046
Extreme Greed,0x2c229d22b100a7beb69122eed721cee9b24011dd,191,725741.1,0.024882147806939158,125.11531337696334,0.4816753926701571
Extreme Greed,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,4,46134.530000000006,0.0,0.0,0.0
Extreme Greed,0x39cef799f8b69da1995852eea189df24eb5cae3c,5,160260.14,0.01860089217038966,744.2691298,0.8
Extreme Greed,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,21,61819.3,0.02264998471440886,49.214969619047615,0.8095238095238095
Extreme Greed,0x420ab45e0bd8863569a5efbb9c05d91f40624641,10,67508.1,0.02653871910820573,176.246,1.0
Extreme Greed,0x430f09841d65beb3f27765503d0f850b8bce7713,3,1.88,0.0,0.0,0.0
Extreme Greed,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,628,267888.84,0.012017559574860361,4.257005703821656,0.27070063694267515
