sentiment,coin_std,trades,notional_sum,r_mean,pnl_mean,winrate
Extreme Fear,@107,67,136660.73,0.011029213422009177,14.373521537313433,0.3283582089552239
Extreme Fear,@4,28,4495.46,0.12443324183097523,23.178014714285716,0.5357142857142857
Extreme Fear,@49,4,459.28,-0.06666370935995378,-10.178054249999999,0.0
Extreme Fear,@8,2,499.98,0.0,0.0,0.0
Extreme Fear,AAVE,3,1691.0100000000002,0.020977957976459915,18.182371999999997,0.6666666666666666
Extreme Fear,ADA,5,1440.01,0.0,0.0,0.0
Extreme Fear,AI,6,2981.58,0.009027683399104708,4.986738666666667,0.5
Extreme Fear,AI16Z,29,8909.8,0.039521830426011643,17.22449568965517,0.4482758620689655
Extreme Fear,AIXBT,5,753.06,0.1167951057023795,14.264576,0.6
Extreme Fear,ALGO,1,221.89,0.0,0.0,0.0
Extreme Fear,APE,10,2386.56,0.0,0.0,0.0
Extreme Fear,APT,1,221.97,0.0,0.0,0.0
Extreme Fear,ARB,1,110.97,0.0,0.0,0.0
Extreme Fear,AVAX,2,221.8,0.0,0.0,0.0
Extreme Fear,BADGER,10,4247.7,0.004962052389669494,2.2546093,0.6
Extreme Fear,BIO,2,504.01,0.0,0.0,0.0
Extreme Fear,BLAST,1,221.99,0.0,0.0,0.0
Extreme Fear,BLUR,1,221.9,0.0,0.0,0.0
Extreme Fear,BNB,1,221.98,0.0,0.0,0.0
Extreme Fear,BOME,2,221.98000000000002,0.0,0.0,0.0
Extreme Fear,BRETT,3,221.81,0.0,0.0,0.0
Extreme Fear,BTC,145,2130635.91,0.0023925038983153082,39.15642580689655,0.27586206896551724
Extreme Fear,CHILLGUY,1,221.92,0.0,0.0,0.0
Extreme Fear,CRV,36,12007.44,-0.0017379350665798691,0.49236022222222203,0.1388888888888889
Extreme Fear,DOGE,1,221.85,0.0,0.0,0.0
Extreme Fear,DYM,2,221.88,0.0,0.0,0.0
Extreme Fear,EIGEN,1,221.97,0.0,0.0,0.0
Extreme Fear,ENA,61,111918.4,0.0,0.0,0.0
Extreme Fear,ETH,166,760274.54,3.741913322522584e-05,0.02002821686746988,0.006024096385542169
